"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 14:46:24 GMT 2023","Tue Jul 18 14:46:26 GMT 2023","1449","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedStepAttachments","testAnnotatedStepAttachments()",""
"passed","Tue Jul 18 14:46:15 GMT 2023","Tue Jul 18 14:46:24 GMT 2023","9777","","qa.guru.allure.AnnotatedTest","","qa.guru.allure.AnnotatedTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Jul 18 14:46:32 GMT 2023","Tue Jul 18 14:46:35 GMT 2023","3582","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Jul 18 14:46:35 GMT 2023","Tue Jul 18 14:46:39 GMT 2023","3597","","qa.guru.allure.hw.AnnotatedTest","","qa.guru.allure.hw.AnnotatedTest","testAnnotatedStep","testAnnotatedStep()","Шаги с аннотацией @Step"
"passed","Tue Jul 18 14:46:26 GMT 2023","Tue Jul 18 14:46:27 GMT 2023","1428","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaStepAttachments","testLambdaStepAttachments()",""
"passed","Tue Jul 18 14:46:45 GMT 2023","Tue Jul 18 14:46:49 GMT 2023","3838","","qa.guru.allure.hw.StepsTest","","qa.guru.allure.hw.StepsTest","testLambdaStep","testLambdaStep()","Лямбда шаги через step (name, () -> {})"
"passed","Tue Jul 18 14:46:39 GMT 2023","Tue Jul 18 14:46:45 GMT 2023","6527","","qa.guru.allure.hw.SelenideTest","","qa.guru.allure.hw.SelenideTest","testIssueSearch","testIssueSearch()","Чистый Selenide (с Listener)"
"passed","Tue Jul 18 14:46:27 GMT 2023","Tue Jul 18 14:46:27 GMT 2023","2","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Jul 18 14:46:27 GMT 2023","Tue Jul 18 14:46:32 GMT 2023","4237","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Jul 18 14:46:27 GMT 2023","Tue Jul 18 14:46:27 GMT 2023","4","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
